"CASRN","chemical_name "
"106-47-8","p-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroanilinep-Chloroaniline"
"108-90-7","Chlorobenzene"
"510-15-6","Chlorobenzilate"
"75-68-3","1-Chloro-1,1-difluoroethane (HCFC-142b)"
"75-45-6","Chlorodifluoromethane (HCFC-22)"
"75-00-3","Chloroethane"
"67-66-3","Chloroform"
"74-87-3","Chloromethane"
"107-30-2","Chloromethyl methyl ether"
"563-47-3","3-Chloro-2-methyl-1-propene"
"104-12-1","p-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanatep-Chlorophenyl isocyanate"
"76-06-2","Chloropicrin"
"126-99-8","Chloroprene"
"542-76-7","3-Chloropropionitrile"
"63938-10-3","Chlorotetrafluoroethane"
"354-25-6","1-Chloro-1,1,2,2-tetrafluoroethane (HCFC-124a)"
"2837-89-0","2-Chloro-1,1,1,2-tetrafluoroethane (HCFC-124)"
"1897-45-6","Chlorothalonil"
"95-69-2","p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)p-Chloro-o-toluidine (4-Chloro-2-methylaniline)"
"75-88-7","2-Chloro-1,1,1-trifluoroethane (HCFC-133a)"
"75-72-9","Chlorotrifluoromethane (CFC-13)"
"460-35-5","3-Chloro-1,1,1-trifluoropropane (HCFC-253fb)"
"5598-13-0","Chlorpyrifos-methyl"
"64902-72-3","Chlorsulfuron "
"7440-47-3","Chromium"
"7440-48-4","Cobalt"
"7440-50-8","Copper"
"8001-58-9","Creosote"
"120-71-8","p-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidinep-Cresidine"
"1319-77-3","Cresol (mixed isomers)"
"108-39-4","m-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresolm-Cresol"
"95-48-7","o-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresolo-Cresol"
"106-44-5","p-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresolp-Cresol"
"4170-30-3","Crotonaldehyde"
"98-82-8","Cumene"
"80-15-9","Cumene hydroperoxide"
"135-20-6","Cupferron"
"21725-46-2","Cyanazine"
"1134-23-2","Cycloate"
"110-82-7","Cyclohexane"
"108-93-0","Cyclohexanol"
"68359-37-5","Cyfluthrin"
"68085-85-8","Cyhalothrin "
"94-75-7","2,4-D"
"533-74-4","Dazomet "
"53404-60-7","Dazomet, sodium salt "
"94-82-6","2,4-DB"
"1929-73-3","2,4-D 2-butoxyethyl ester"
"94-80-4","2,4-D butyl ester"
"2971-38-2","2,4-D chlorocrotyl ester"
"1163-19-5","Decabromodiphenyl oxide"
"13684-56-5","Desmedipham"
"1928-43-4","2,4-D 2-ethylhexyl ester"
"53404-37-8","2,4-D 2-ethyl-4-methylpentyl ester"
"2303-16-4","Diallate"
"615-05-4","2,4-Diaminoanisole"
"39156-41-7","2,4-Diaminoanisole sulfate"
"101-80-4","4,4'-Diaminodiphenyl ether"
"25376-45-8","Diaminotoluene (mixed isomers) (Toluenediamine)"
"95-80-7","2,4-Diaminotoluene (2,4-Toluenediamine)"
"333-41-5","Diazinon"
"334-88-3","Diazomethane"
"132-64-9","Dibenzofuran"
"96-12-8","1,2-Dibromo-3-chloropropane"
"106-93-4","1,2-Dibromoethane (Ethylene dibromide)"
"124-73-2","Dibromotetrafluoroethane (1,2-Dibromo-1,1,2,2-tetrafluoroethane)"
"84-74-2","Dibutyl phthalate"
"1918-00-9","Dicamba"
"99-30-9","Dichloran"
"25321-22-6","Dichlorobenzene (mixed isomers)"
"95-50-1","1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)1,2-Dichlorobenzene (o-Dichlorobenzene)"
"541-73-1","1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)1,3-Dichlorobenzene (m-Dichlorobenzene)"
"106-46-7","1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)1,4-Dichlorobenzene (p-Dichlorobenzene)"
"91-94-1","3,3'-Dichlorobenzidine"
"612-83-9","3,3'-Dichlorobenzidine dihydrochloride"
"64969-34-2","3,3'-Dichlorobenzidine sulfate"
"75-27-4","Dichlorobromomethane"
"764-41-0","1,4-Dichloro-2-butene"
"110-57-6","trans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butenetrans-1,4-Dichloro-2-butene"
"1649-08-7","1,2-Dichloro-1,1-difluoroethane (HCFC-132b)"
"75-71-8","Dichlorodifluoromethane (CFC-12)"
"107-06-2","1,2-Dichloroethane"
"540-59-0","1,2-Dichloroethylene"
"1717-00-6","1,1-Dichloro-1-fluoroethane (HCFC-141b)"
"75-43-4","Dichlorofluoromethane (HCFC-21)"
"75-09-2","Dichloromethane (Methylene chloride)"
"127564-92-5","Dichloropentafluoropropane"
"13474-88-9","1,1-Dichloro-1,2,2,3,3-pentafluoropropane (HCFC-225cc)"
"111512-56-2","1,1-Dichloro-1,2,3,3,3-pentafluoropropane (HCFC-225eb)"
"422-44-6","1,2-Dichloro-1,1,2,3,3-pentafluoropropane (HCFC-225bb)"
"431-86-7","1,2-Dichloro-1,1,3,3,3-pentafluoropropane (HCFC-225da)"
"507-55-1","1,3-Dichloro-1,1,2,2,3-pentafluoropropane (HCFC-225cb)"
"136013-79-1","1,3-Dichloro-1,1,2,3,3-pentafluoropropane (HCFC-225ea)"
"128903-21-9","2,2-Dichloro-1,1,1,3,3-pentafluoropropane (HCFC-225aa)"
"422-48-0","2,3-dichloro-1,1,1,2,3-pentafluoropropane (HCFC-225ba)"
"422-56-0","3,3-Dichloro-1,1,1,2,2-pentafluoropropane (HCFC-225ca)"
"97-23-4","Dichlorophene "
"120-83-2","2,4-Dichlorophenol"
"78-87-5","1,2-Dichloropropane"
"78-88-6","2,3-Dichloropropene"
"10061-02-6","trans-1,3-Dichloropropenetrans-1,3-Dichloropropenetrans-1,3-Dichloropropenetrans-1,3-Dichloropropenetrans-1,3-Dichloropropenetrans-1,3-Dichloropropenetrans-1,3-Dichloropropenetrans-1,3-Dichloropropenetrans-1,3-Dichloropropenetrans-1,3-Dichloropropenetrans-1,3-Dichloropropenetrans-1,3-Dichloropropenetrans-1,3-Dichloropropenetrans-1,3-Dichloropropenetrans-1,3-Dichloropropenetrans-1,3-Dichloropropenetrans-1,3-Dichloropropenetrans-1,3-Dichloropropenetrans-1,3-Dichloropropenetrans-1,3-Dichloropropenetrans-1,3-Dichloropropenetrans-1,3-Dichloropropenetrans-1,3-Dichloropropenetrans-1,3-Dichloropropene"
"542-75-6","1,3-Dichloropropylene (1,3-Dichloropropene)"
"76-14-2","Dichlorotetrafluoroethane (CFC-114)"
"34077-87-7","Dichlorotrifluoroethane"
"90454-18-5","Dichloro-1,1,2-trifluoroethane"
"812-04-4","1,1-Dichloro-1,2,2-trifluoroethane (HCFC-123b)"
"354-23-4","1,2-Dichloro-1,1,2-trifluoroethane (HCFC-123a)"
"306-83-2","2,2-Dichloro-1,1,1-trifluoroethane (HCFC-123)"
"62-73-7","Dichlorvos"
"51338-27-3","Diclofop methyl"
"115-32-2","Dicofol"
"77-73-6","Dicyclopentadiene"
"1464-53-5","Diepoxybutane"
"111-42-2","Diethanolamine"
"38727-55-8","Diethatyl ethyl"
"117-81-7","Di(2-ethylhexyl) phthalate"
"64-67-5","Diethyl sulfate"
"35367-38-5","Diflubenzuron"
"101-90-6","Diglycidyl resorcinol ether"
"94-58-6","Dihydrosafrole"
"55290-64-7","Dimethipin "
"60-51-5","Dimethoate"
"119-90-4","3,3'-Dimethoxybenzidine"
"20325-40-0","3,3'-Dimethoxybenzidine dihydrochloride "
"111984-09-9","3,3'-Dimethoxybenzidine monohydrochloride"
"124-40-3","Dimethylamine"
"2300-66-5","Dimethylamine dicamba"
"60-11-7","4-Dimethylaminoazobenzene"
"121-69-7","N,N-DimethylanilineN,N-DimethylanilineN,N-DimethylanilineN,N-DimethylanilineN,N-DimethylanilineN,N-DimethylanilineN,N-DimethylanilineN,N-DimethylanilineN,N-DimethylanilineN,N-DimethylanilineN,N-DimethylanilineN,N-DimethylanilineN,N-DimethylanilineN,N-DimethylanilineN,N-DimethylanilineN,N-DimethylanilineN,N-DimethylanilineN,N-DimethylanilineN,N-DimethylanilineN,N-DimethylanilineN,N-DimethylanilineN,N-Dimethylaniline"
"119-93-7","3,3'-Dimethylbenzidine"
"612-82-8","3,3'-Dimethylbenzidine dihydrochloride"
"41766-75-0","3,3'-Dimethylbenzidine dihydrofluoride"
"79-44-7","Dimethylcarbamoyl chloride"
"2524-03-0","Dimethyl chlorothiophosphate"
"68-12-2","N,N-DimethylformamideN,N-DimethylformamideN,N-DimethylformamideN,N-DimethylformamideN,N-DimethylformamideN,N-DimethylformamideN,N-DimethylformamideN,N-DimethylformamideN,N-DimethylformamideN,N-DimethylformamideN,N-DimethylformamideN,N-DimethylformamideN,N-DimethylformamideN,N-DimethylformamideN,N-DimethylformamideN,N-DimethylformamideN,N-DimethylformamideN,N-DimethylformamideN,N-DimethylformamideN,N-DimethylformamideN,N-DimethylformamideN,N-Dimethylformamide"
"57-14-7","1,1-Dimethylhydrazine"
"105-67-9","2,4-Dimethylphenol"
"131-11-3","Dimethyl phthalate"
"77-78-1","Dimethyl sulfate"
"99-65-0","m-Dinitrobenzenem-Dinitrobenzenem-Dinitrobenzenem-Dinitrobenzenem-Dinitrobenzenem-Dinitrobenzenem-Dinitrobenzenem-Dinitrobenzenem-Dinitrobenzenem-Dinitrobenzenem-Dinitrobenzenem-Dinitrobenzenem-Dinitrobenzenem-Dinitrobenzenem-Dinitrobenzenem-Dinitrobenzenem-Dinitrobenzenem-Dinitrobenzenem-Dinitrobenzenem-Dinitrobenzenem-Dinitrobenzene"
"528-29-0","o-Dinitrobenzeneo-Dinitrobenzeneo-Dinitrobenzeneo-Dinitrobenzeneo-Dinitrobenzeneo-Dinitrobenzeneo-Dinitrobenzeneo-Dinitrobenzeneo-Dinitrobenzeneo-Dinitrobenzeneo-Dinitrobenzeneo-Dinitrobenzeneo-Dinitrobenzeneo-Dinitrobenzeneo-Dinitrobenzeneo-Dinitrobenzeneo-Dinitrobenzeneo-Dinitrobenzeneo-Dinitrobenzeneo-Dinitrobenzeneo-Dinitrobenzene"
"100-25-4","p-Dinitrobenzenep-Dinitrobenzenep-Dinitrobenzenep-Dinitrobenzenep-Dinitrobenzenep-Dinitrobenzenep-Dinitrobenzenep-Dinitrobenzenep-Dinitrobenzenep-Dinitrobenzenep-Dinitrobenzenep-Dinitrobenzenep-Dinitrobenzenep-Dinitrobenzenep-Dinitrobenzenep-Dinitrobenzenep-Dinitrobenzenep-Dinitrobenzenep-Dinitrobenzenep-Dinitrobenzenep-Dinitrobenzene"
"88-85-7","Dinitrobutyl phenol (Dinoseb)"
"534-52-1","4,6-Dinitro-o-cresol4,6-Dinitro-o-cresol4,6-Dinitro-o-cresol4,6-Dinitro-o-cresol4,6-Dinitro-o-cresol4,6-Dinitro-o-cresol4,6-Dinitro-o-cresol4,6-Dinitro-o-cresol4,6-Dinitro-o-cresol4,6-Dinitro-o-cresol4,6-Dinitro-o-cresol4,6-Dinitro-o-cresol4,6-Dinitro-o-cresol4,6-Dinitro-o-cresol4,6-Dinitro-o-cresol4,6-Dinitro-o-cresol4,6-Dinitro-o-cresol4,6-Dinitro-o-cresol4,6-Dinitro-o-cresol4,6-Dinitro-o-cresol4,6-Dinitro-o-cresol"
"51-28-5","2,4-Dinitrophenol"
"121-14-2","2,4-Dinitrotoluene"
"606-20-2","2,6-Dinitrotoluene"
"25321-14-6","Dinitrotoluene (mixed isomers)"
"39300-45-3","Dinocap"
"123-91-1","1,4-Dioxane"
"957-51-7","Diphenamid"
"122-39-4","Diphenylamine"
"122-66-7","1,2-Diphenylhydrazine"
"2164-07-0","Dipotassium endothall "
"136-45-8","Dipropyl isocinchomeronate"
"138-93-2","Disodium cyanodithioimidocarbonate"
"94-11-1","2,4-D isopropyl ester"
"541-53-7","2,4-Dithiobiuret (Dithiobiuret)2,4-Dithiobiuret (Dithiobiuret)2,4-Dithiobiuret (Dithiobiuret)2,4-Dithiobiuret (Dithiobiuret)2,4-Dithiobiuret (Dithiobiuret)2,4-Dithiobiuret (Dithiobiuret)2,4-Dithiobiuret (Dithiobiuret)2,4-Dithiobiuret (Dithiobiuret)2,4-Dithiobiuret (Dithiobiuret)2,4-Dithiobiuret (Dithiobiuret)2,4-Dithiobiuret (Dithiobiuret)2,4-Dithiobiuret (Dithiobiuret)2,4-Dithiobiuret (Dithiobiuret)2,4-Dithiobiuret (Dithiobiuret)2,4-Dithiobiuret (Dithiobiuret)2,4-Dithiobiuret (Dithiobiuret)2,4-Dithiobiuret (Dithiobiuret)2,4-Dithiobiuret (Dithiobiuret)2,4-Dithiobiuret (Dithiobiuret)2,4-Dithiobiuret (Dithiobiuret)"
"330-54-1","Diuron"
"2439-10-3","Dodine"
"120-36-5","2,4-DP (Dichlorprop)"
"1320-18-9","2,4-D propylene glycol butyl ether ester (2,4-D 2-butoxymethylethyl ester)"
"2702-72-9","2,4-D sodium salt"
"106-89-8","Epichlorohydrin"
"13194-48-4","Ethoprop"
"110-80-5","2-Ethoxyethanol"
"140-88-5","Ethyl acrylate"
"100-41-4","Ethylbenzene"
"541-41-3","Ethyl chloroformate"
"759-94-4","S-Ethyl dipropylthiocarbamateS-Ethyl dipropylthiocarbamateS-Ethyl dipropylthiocarbamateS-Ethyl dipropylthiocarbamateS-Ethyl dipropylthiocarbamateS-Ethyl dipropylthiocarbamateS-Ethyl dipropylthiocarbamateS-Ethyl dipropylthiocarbamateS-Ethyl dipropylthiocarbamateS-Ethyl dipropylthiocarbamateS-Ethyl dipropylthiocarbamateS-Ethyl dipropylthiocarbamateS-Ethyl dipropylthiocarbamateS-Ethyl dipropylthiocarbamateS-Ethyl dipropylthiocarbamateS-Ethyl dipropylthiocarbamateS-Ethyl dipropylthiocarbamateS-Ethyl dipropylthiocarbamateS-Ethyl dipropylthiocarbamate"
"74-85-1","Ethylene"
"107-21-1","Ethylene glycol"
"151-56-4","Ethyleneimine (Aziridine)"
"75-21-8","Ethylene oxide"
"96-45-7","Ethylene thiourea"
"75-34-3","Ethylidene dichloride (1,1-Dichloroethane)"
"52-85-7","Famphur"
"60168-88-9","Fenarimol "
"13356-08-6","Fenbutatin oxide"
"66441-23-4","Fenoxaprop-ethyl "
"72490-01-8","Fenoxycarb "
"39515-41-8","Fenpropathrin"
"55-38-9","Fenthion"
"51630-58-1","Fenvalerate"
"14484-64-1","Ferbam"
"69806-50-4","Fluazifop-butyl"
"2164-17-2","Fluometuron"
"7782-41-4","Fluorine"
"51-21-8","Fluorouracil (5-Fluorouracil)"
"69409-94-5","Fluvalinate"
"133-07-3","Folpet"
"72178-02-0","Fomesafen "
"50-00-0","Formaldehyde"
"64-18-6","Formic acid"
"76-13-1","Freon 113 (CFC-113) "
