POPESTIMATE2019,COUNTYNAME,STATEFP,COUNTYFP
68098,"Jones County, Mississippi",28,067
14286,"Walthall County, Mississippi",28,147
35252,"Monroe County, Mississippi",28,095
32174,"Pontotoc County, Mississippi",28,115
17010,"Holmes County, Mississippi",28,051
12297,"Amite County, Mississippi",28,005
21069,"Greene County, North Carolina",37,079
62317,"Haywood County, North Carolina",37,087
14964,"Mitchell County, North Carolina",37,121
13943,"Chowan County, North Carolina",37,041
82178,"Caldwell County, North Carolina",37,027
159551,"Catawba County, North Carolina",37,035
97947,"Cleveland County, North Carolina",37,045
102139,"Craven County, North Carolina",37,049
51472,"Edgecombe County, North Carolina",37,065
60443,"Granville County, North Carolina",37,077
135976,"Harnett County, North Carolina",37,085
55234,"Hoke County, North Carolina",37,093
117417,"Henderson County, North Carolina",37,089
4937,"Hyde County, North Carolina",37,095
181806,"Iredell County, North Carolina",37,097
1110356,"Mecklenburg County, North Carolina",37,119
19483,"Northampton County, North Carolina",37,131
180742,"Pitt County, North Carolina",37,147
142088,"Rowan County, North Carolina",37,159
44535,"Vance County, North Carolina",37,181
28612,"Cherokee County, North Carolina",37,039
27763,"Currituck County, North Carolina",37,053
239859,"Union County, North Carolina",37,179
68412,"Wilkes County, North Carolina",37,193
382295,"Forsyth County, North Carolina",37,067
94298,"Nash County, North Carolina",37,127
37497,"Alexander County, North Carolina",37,003
32722,"Bladen County, North Carolina",37,017
37009,"Dare County, North Carolina",37,055
69473,"Carteret County, North Carolina",37,031
19731,"Warren County, North Carolina",37,185
81801,"Wilson County, North Carolina",37,195
18947,"Bertie County, North Carolina",37,015
11562,"Gates County, North Carolina",37,073
8441,"Graham County, North Carolina",37,075
22440,"Martin County, North Carolina",37,117
12726,"Pamlico County, North Carolina",37,137
13463,"Perquimans County, North Carolina",37,143
20724,"Polk County, North Carolina",37,149
143667,"Randolph County, North Carolina",37,151
91010,"Rockingham County, North Carolina",37,157
45591,"Stokes County, North Carolina",37,169
11580,"Washington County, North Carolina",37,187
10867,"Camden County, North Carolina",37,029
11231,"Clay County, North Carolina",37,043
335509,"Cumberland County, North Carolina",37,051
11137,"Alleghany County, North Carolina",37,005
224529,"Gaston County, North Carolina",37,071
537174,"Guilford County, North Carolina",37,081
43938,"Jackson County, North Carolina",37,099
100880,"Moore County, North Carolina",37,125
39824,"Pasquotank County, North Carolina",37,139
130625,"Robeson County, North Carolina",37,155
62806,"Stanly County, North Carolina",37,167
14271,"Swain County, North Carolina",37,173
1111761,"Wake County, North Carolina",37,183
18069,"Yancey County, North Carolina",37,199
24446,"Anson County, North Carolina",37,007
74470,"Chatham County, North Carolina",37,037
69685,"Franklin County, North Carolina",37,069
209339,"Johnston County, North Carolina",37,101
35858,"Macon County, North Carolina",37,113
21755,"Madison County, North Carolina",37,115
45756,"McDowell County, North Carolina",37,111
9419,"Jones County, North Carolina",37,103
39490,"Person County, North Carolina",37,145
142820,"Brunswick County, North Carolina",37,019
34385,"Transylvania County, North Carolina",37,175
27203,"Ashe County, North Carolina",37,009
46994,"Beaufort County, North Carolina",37,013
55508,"Columbus County, North Carolina",37,047
55949,"Lenoir County, North Carolina",37,107
86111,"Lincoln County, North Carolina",37,109
27173,"Montgomery County, North Carolina",37,123
197938,"Onslow County, North Carolina",37,133
148476,"Orange County, North Carolina",37,135
44829,"Richmond County, North Carolina",37,153
67029,"Rutherford County, North Carolina",37,161
63531,"Sampson County, North Carolina",37,163
71783,"Surry County, North Carolina",37,171
37667,"Yadkin County, North Carolina",37,197
17557,"Avery County, North Carolina",37,011
261191,"Buncombe County, North Carolina",37,021
90485,"Burke County, North Carolina",37,023
216453,"Cabarrus County, North Carolina",37,025
42846,"Davie County, North Carolina",37,059
167609,"Davidson County, North Carolina",37,057
58741,"Duplin County, North Carolina",37,061
321488,"Durham County, North Carolina",37,063
23677,"Hertford County, North Carolina",37,091
61779,"Lee County, North Carolina",37,105
234473,"New Hanover County, North Carolina",37,129
63060,"Pender County, North Carolina",37,141
123131,"Wayne County, North Carolina",37,191
34823,"Scotland County, North Carolina",37,165
56177,"Watauga County, North Carolina",37,189
50010,"Halifax County, North Carolina",37,083
169509,"Alamance County, North Carolina",37,001
4016,"Tyrrell County, North Carolina",37,177
22604,"Caswell County, North Carolina",37,033
4891,"Dewey County, Oklahoma",40,043
3688,"Harper County, Oklahoma",40,059
43538,"Kay County, Oklahoma",40,071
48011,"Logan County, Oklahoma",40,083
14142,"Craig County, Oklahoma",40,035
651552,"Tulsa County, Oklahoma",40,143
51527,"Washington County, Oklahoma",40,147
148306,"Canadian County, Oklahoma",40,017
2653,"Harmon County, Oklahoma",40,057
12627,"Haskell County, Oklahoma",40,061
10073,"Latimer County, Oklahoma",40,077
38465,"Okmulgee County, Oklahoma",40,111
46963,"Osage County, Oklahoma",40,113
19983,"Texas County, Oklahoma",40,139
6002,"Jefferson County, Oklahoma",40,067
11096,"Pushmataha County, Oklahoma",40,127
61056,"Garfield County, Oklahoma",40,047
27711,"Garvin County, Oklahoma",40,049
11085,"Johnston County, Oklahoma",40,069
43654,"Pittsburg County, Oklahoma",40,121
38284,"Pontotoc County, Oklahoma",40,123
3583,"Roger Mills County, Oklahoma",40,129
20211,"Woodward County, Oklahoma",40,153
48657,"Cherokee County, Oklahoma",40,021
43009,"Delaware County, Oklahoma",40,041
3859,"Ellis County, Oklahoma",40,045
55834,"Grady County, Oklahoma",40,051
81784,"Payne County, Oklahoma",40,119
72592,"Pottawatomie County, Oklahoma",40,125
71522,"Creek County, Oklahoma",40,037
7250,"Tillman County, Oklahoma",40,141
10916,"Washita County, Oklahoma",40,149
5666,"Cotton County, Oklahoma",40,033
8708,"Kiowa County, Oklahoma",40,075
49853,"Le Flore County, Oklahoma",40,079
32832,"McCurtain County, Oklahoma",40,089
7629,"Major County, Oklahoma",40,093
41100,"Mayes County, Oklahoma",40,097
797434,"Oklahoma County, Oklahoma",40,109
29003,"Custer County, Oklahoma",40,039
5311,"Beaver County, Oklahoma",40,007
10253,"Love County, Oklahoma",40,085
21859,"Beckham County, Oklahoma",40,009
13279,"Hughes County, Oklahoma",40,063
14672,"Choctaw County, Oklahoma",40,023
24530,"Jackson County, Oklahoma",40,065
120749,"Comanche County, Oklahoma",40,031
34877,"Lincoln County, Oklahoma",40,081
16376,"Pawnee County, Oklahoma",40,117
22194,"Adair County, Oklahoma",40,001
24258,"Seminole County, Oklahoma",40,133
43143,"Stephens County, Oklahoma",40,137
2137,"Cimarron County, Oklahoma",40,025
9429,"Blaine County, Oklahoma",40,011
48111,"Carter County, Oklahoma",40,019
5495,"Coal County, Oklahoma",40,029
4333,"Grant County, Oklahoma",40,053
5712,"Greer County, Oklahoma",40,055
15765,"Kingfisher County, Oklahoma",40,073
40474,"McClain County, Oklahoma",40,087
19596,"McIntosh County, Oklahoma",40,091
16931,"Marshall County, Oklahoma",40,095
14073,"Murray County, Oklahoma",40,099
11131,"Noble County, Oklahoma",40,103
10076,"Nowata County, Oklahoma",40,105
31127,"Ottawa County, Oklahoma",40,115
92459,"Rogers County, Oklahoma",40,131
41569,"Sequoyah County, Oklahoma",40,135
81289,"Wagoner County, Oklahoma",40,145
5702,"Alfalfa County, Oklahoma",40,003
8793,"Woods County, Oklahoma",40,151
28762,"Caddo County, Oklahoma",40,015
284014,"Cleveland County, Oklahoma",40,027
67997,"Muskogee County, Oklahoma",40,101
11993,"Okfuskee County, Oklahoma",40,107
13758,"Atoka County, Oklahoma",40,005
47995,"Bryan County, Oklahoma",40,013
27270,"Fluvanna County, Virginia",51,065
13145,"Amelia County, Virginia",51,007
18249,"Radford city, Virginia",51,750
28078,"Winchester city, Virginia",51,840
5131,"Craig County, Virginia",51,045
16720,"Giles County, Virginia",51,071
15550,"Grayson County, Virginia",51,077
6963,"Charles City County, Virginia",51,036
52605,"Culpeper County, Virginia",51,047
53016,"Harrisonburg city, Virginia",51,660
16762,"Bristol city, Virginia",51,520
32316,"Accomack County, Virginia",51,001
109330,"Albemarle County, Virginia",51,003
15749,"Floyd County, Virginia",51,063
28544,"Dinwiddie County, Virginia",51,053
15232,"Nottoway County, Virginia",51,135
37051,"Orange County, Virginia",51,137
19819,"Greene County, Virginia",51,079
107766,"Hanover County, Virginia",51,085
12196,"Lunenburg County, Virginia",51,111
5346,"Emporia city, Virginia",51,595
244835,"Chesapeake city, Virginia",51,550
17370,"Colonial Heights city, Virginia",51,570
28684,"Wythe County, Virginia",51,197
37383,"Wise County, Virginia",51,195
6280,"Bland County, Virginia",51,021
78997,"Bedford County, Virginia",51,019
33419,"Botetourt County, Virginia",51,023
17148,"Buckingham County, Virginia",51,029
7370,"Rappahannock County, Virginia",51,157
5538,"Covington city, Virginia",51,580
94398,"Portsmouth city, Virginia",51,740
14954,"Williamsburg city, Virginia",51,830
449974,"Virginia Beach city, Virginia",51,810
14860,"Alleghany County, Virginia",51,005
29791,"Carroll County, Virginia",51,035
6347,"Galax city, Virginia",51,640
53740,"Washington County, Virginia",51,191
18015,"Westmoreland County, Virginia",51,193
12095,"Northumberland County, Virginia",51,133
23902,"Page County, Virginia",51,139
34027,"Pulaski County, Virginia",51,155
40164,"Warren County, Virginia",51,187
159428,"Alexandria city, Virginia",51,510
40044,"Danville city, Virginia",51,590
29036,"Fredericksburg city, Virginia",51,630
134510,"Hampton city, Virginia",51,650
31605,"Amherst County, Virginia",51,009
236842,"Arlington County, Virginia",51,013
4147,"Bath County, Virginia",51,017
22529,"Hopewell city, Virginia",51,670
21004,"Buchanan County, Virginia",51,027
89313,"Frederick County, Virginia",51,069
152882,"Stafford County, Virginia",51,179
68280,"York County, Virginia",51,199
230436,"Richmond city, Virginia",51,760
14930,"Nelson County, Virginia",51,125
10953,"Essex County, Virginia",51,057
60354,"Pittsylvania County, Virginia",51,143
40595,"Tazewell County, Virginia",51,185
6478,"Buena Vista city, Virginia",51,530
14617,"Falls Church city, Virginia",51,610
17478,"Manassas Park city, Virginia",51,685
179225,"Newport News city, Virginia",51,700
82168,"Lynchburg city, Virginia",51,680
12554,"Martinsville city, Virginia",51,690
31346,"Petersburg city, Virginia",51,730
12271,"Poquoson city, Virginia",51,735
11159,"Sussex County, Virginia",51,183
24019,"Fairfax city, Virginia",51,600
22630,"Waynesboro city, Virginia",51,820
41085,"Manassas city, Virginia",51,683
99143,"Roanoke city, Virginia",51,770
25301,"Salem city, Virginia",51,775
92108,"Suffolk city, Virginia",51,800
242742,"Norfolk city, Virginia",51,710
11880,"Charlotte County, Virginia",51,037
352802,"Chesterfield County, Virginia",51,041
1147532,"Fairfax County, Virginia",51,059
11336,"Greensville County, Virginia",51,081
37109,"Isle of Wight County, Virginia",51,093
7967,"Franklin city, Virginia",51,620
30104,"Smyth County, Virginia",51,173
47266,"Charlottesville city, Virginia",51,540
7446,"Lexington city, Virginia",51,678
54885,"Campbell County, Virginia",51,031
330818,"Henrico County, Virginia",51,087
50557,"Henry County, Virginia",51,089
23423,"Lee County, Virginia",51,105
76523,"James City County, Virginia",51,095
26836,"King George County, Virginia",51,099
17148,"King William County, Virginia",51,101
10603,"Lancaster County, Virginia",51,103
26586,"Russell County, Virginia",51,167
37591,"Louisa County, Virginia",51,109
8834,"Mathews County, Virginia",51,115
10582,"Middlesex County, Virginia",51,119
22802,"Prince Edward County, Virginia",51,147
38353,"Prince George County, Virginia",51,149
9023,"Richmond County, Virginia",51,159
81948,"Rockingham County, Virginia",51,165
21566,"Scott County, Virginia",51,169
136215,"Spotsylvania County, Virginia",51,177
6422,"Surry County, Virginia",51,181
15911,"Appomattox County, Virginia",51,011
14619,"Clarke County, Virginia",51,043
56042,"Franklin County, Virginia",51,067
7025,"King and Queen County, Virginia",51,097
30587,"Mecklenburg County, Virginia",51,117
98535,"Montgomery County, Virginia",51,121
23091,"New Kent County, Virginia",51,127
75558,"Augusta County, Virginia",51,015
9932,"Cumberland County, Virginia",51,049
14318,"Dickenson County, Virginia",51,051
23753,"Goochland County, Virginia",51,075
33911,"Halifax County, Virginia",51,083
413538,"Loudoun County, Virginia",51,107
13261,"Madison County, Virginia",51,113
470335,"Prince William County, Virginia",51,153
94186,"Roanoke County, Virginia",51,161
17631,"Southampton County, Virginia",51,175
2190,"Highland County, Virginia",51,091
16231,"Brunswick County, Virginia",51,025
30725,"Caroline County, Virginia",51,033
37348,"Gloucester County, Virginia",51,073
11710,"Northampton County, Virginia",51,131
17608,"Patrick County, Virginia",51,141
29652,"Powhatan County, Virginia",51,145
22573,"Rockbridge County, Virginia",51,163
43616,"Shenandoah County, Virginia",51,171
71222,"Fauquier County, Virginia",51,061
3981,"Norton city, Virginia",51,720
24932,"Staunton city, Virginia",51,790
11568,"Grant County, West Virginia",54,023
23175,"Hampshire County, West Virginia",54,027
12573,"Summers County, West Virginia",54,089
21939,"Brooke County, West Virginia",54,009
8448,"Doddridge County, West Virginia",54,017
34662,"Greenbrier County, West Virginia",54,025
13776,"Hardy County, West Virginia",54,031
56072,"Marion County, West Virginia",54,049
26868,"Mineral County, West Virginia",54,057
23424,"Mingo County, West Virginia",54,059
28810,"Hancock County, West Virginia",54,029
15907,"Lewis County, West Virginia",54,041
30531,"Marshall County, West Virginia",54,051
24496,"Nicholas County, West Virginia",54,067
8247,"Pocahontas County, West Virginia",54,075
6839,"Tucker County, West Virginia",54,093
8591,"Tyler County, West Virginia",54,095
28695,"Randolph County, West Virginia",54,083
13688,"Roane County, West Virginia",54,087
16695,"Taylor County, West Virginia",54,091
5821,"Wirt County, West Virginia",54,105
83518,"Wood County, West Virginia",54,107
8508,"Clay County, West Virginia",54,015
7823,"Gilmer County, West Virginia",54,021
26516,"Mason County, West Virginia",54,053
105612,"Monongalia County, West Virginia",54,061
13275,"Monroe County, West Virginia",54,063
7460,"Pleasants County, West Virginia",54,073
15065,"Wetzel County, West Virginia",54,103
91945,"Cabell County, West Virginia",54,011
57146,"Jefferson County, West Virginia",54,037
178124,"Kanawha County, West Virginia",54,039
32019,"Logan County, West Virginia",54,045
6969,"Pendleton County, West Virginia",54,071
33432,"Preston County, West Virginia",54,077
67256,"Harrison County, West Virginia",54,033
41411,"Ohio County, West Virginia",54,069
9554,"Ritchie County, West Virginia",54,085
7109,"Calhoun County, West Virginia",54,013
17884,"Morgan County, West Virginia",54,065
20409,"Lincoln County, West Virginia",54,043
73361,"Raleigh County, West Virginia",54,081
13957,"Braxton County, West Virginia",54,007
56450,"Putnam County, West Virginia",54,079
16441,"Barbour County, West Virginia",54,001
21457,"Boone County, West Virginia",54,005
17624,"McDowell County, West Virginia",54,047
39402,"Wayne County, West Virginia",54,099
20394,"Wyoming County, West Virginia",54,109
28576,"Jackson County, West Virginia",54,035
58758,"Mercer County, West Virginia",54,055
24176,"Upshur County, West Virginia",54,097
8114,"Webster County, West Virginia",54,101
119171,"Berkeley County, West Virginia",54,003
42406,"Fayette County, West Virginia",54,019
20122,"Richland Parish, Louisiana",22,083
53431,"St. Martin Parish, Louisiana",22,099
47429,"Vernon Parish, Louisiana",22,115
13904,"Winn Parish, Louisiana",22,127
440059,"East Baton Rouge Parish, Louisiana",22,033
23884,"Sabine Parish, Louisiana",22,085
25627,"Allen Parish, Louisiana",22,003
10951,"Madison Parish, Louisiana",22,065
31368,"Jefferson Davis Parish, Louisiana",22,053
21096,"St. James Parish, Louisiana",22,093
22389,"Grant Parish, Louisiana",22,043
15568,"West Feliciana Parish, Louisiana",22,125
432493,"Jefferson Parish, Louisiana",22,051
37497,"Beauregard Parish, Louisiana",22,011
13241,"Bienville Parish, Louisiana",22,013
127039,"Bossier Parish, Louisiana",22,015
6973,"Cameron Parish, Louisiana",22,023
19135,"East Feliciana Parish, Louisiana",22,037
42837,"St. John the Baptist Parish, Louisiana",22,095
23197,"Plaquemines Parish, Louisiana",22,075
153279,"Ouachita Parish, Louisiana",22,073
129648,"Rapides Parish, Louisiana",22,079
46194,"Washington Parish, Louisiana",22,117
82124,"St. Landry Parish, Louisiana",22,097
134758,"Tangipahoa Parish, Louisiana",22,105
62045,"Acadia Parish, Louisiana",22,001
49348,"St. Mary Parish, Louisiana",22,101
10830,"West Carroll Parish, Louisiana",22,123
260419,"St. Tammany Parish, Louisiana",22,103
22108,"Union Parish, Louisiana",22,111
9918,"Caldwell Parish, Louisiana",22,021
240204,"Caddo Parish, Louisiana",22,017
6861,"East Carroll Parish, Louisiana",22,035
126604,"Ascension Parish, Louisiana",22,005
244390,"Lafayette Parish, Louisiana",22,055
33395,"Evangeline Parish, Louisiana",22,039
69830,"Iberia Parish, Louisiana",22,045
46742,"Lincoln Parish, Louisiana",22,061
47244,"St. Bernard Parish, Louisiana",22,087
10132,"St. Helena Parish, Louisiana",22,091
38340,"Webster Parish, Louisiana",22,119
26465,"West Baton Rouge Parish, Louisiana",22,121
27463,"De Soto Parish, Louisiana",22,031
32511,"Iberville Parish, Louisiana",22,047
8442,"Red River Parish, Louisiana",22,081
140789,"Livingston Parish, Louisiana",22,063
24874,"Morehouse Parish, Louisiana",22,067
38158,"Natchitoches Parish, Louisiana",22,069
390144,"Orleans Parish, Louisiana",22,071
110461,"Terrebonne Parish, Louisiana",22,109
9494,"Catahoula Parish, Louisiana",22,025
203436,"Calcasieu Parish, Louisiana",22,019
15670,"Claiborne Parish, Louisiana",22,027
20015,"Franklin Parish, Louisiana",22,041
40144,"Avoyelles Parish, Louisiana",22,009
21891,"Assumption Parish, Louisiana",22,007
15744,"Jackson Parish, Louisiana",22,049
21730,"Pointe Coupee Parish, Louisiana",22,077
59511,"Vermilion Parish, Louisiana",22,113
53100,"St. Charles Parish, Louisiana",22,089
97614,"Lafourche Parish, Louisiana",22,057
19259,"Concordia Parish, Louisiana",22,029
4334,"Tensas Parish, Louisiana",22,107
14892,"LaSalle Parish, Louisiana",22,059
37349,"Chippewa County, Michigan",26,033
150500,"Monroe County, Michigan",26,115
118081,"Allegan County, Michigan",26,005
1257584,"Oakland County, Michigan",26,125
9108,"Alger County, Michigan",26,003
173566,"Muskegon County, Michigan",26,121
30950,"Clare County, Michigan",26,035
52245,"Tuscola County, Michigan",26,157
10405,"Alcona County, Michigan",26,001
28405,"Alpena County, Michigan",26,007
33631,"Wexford County, Michigan",26,165
79595,"Clinton County, Michigan",26,037
40711,"Gratiot County, Michigan",26,057
45605,"Hillsdale County, Michigan",26,059
64697,"Ionia County, Michigan",26,067
26467,"Oceana County, Michigan",26,127
5720,"Ontonagon County, Michigan",26,131
291830,"Ottawa County, Michigan",26,139
20997,"Ogemaw County, Michigan",26,129
8241,"Oscoda County, Michigan",26,135
21761,"Leelanau County, Michigan",26,089
87607,"Lapeer County, Michigan",26,087
2116,"Keweenaw County, Michigan",26,083
41170,"Sanilac County, Michigan",26,151
69872,"Isabella County, Michigan",26,073
18038,"Kalkaska County, Michigan",26,079
83156,"Midland County, Michigan",26,111
153401,"Berrien County, Michigan",26,021
14029,"Crawford County, Michigan",26,039
25239,"Dickinson County, Michigan",26,043
30981,"Huron County, Michigan",26,063
292406,"Ingham County, Michigan",26,065
98451,"Lenawee County, Michigan",26,091
29144,"Mason County, Michigan",26,105
22780,"Menominee County, Michigan",26,109
63888,"Montcalm County, Michigan",26,117
15118,"Missaukee County, Michigan",26,113
60964,"St. Joseph County, Michigan",26,149
159128,"St. Clair County, Michigan",26,147
75677,"Van Buren County, Michigan",26,159
367601,"Washtenaw County, Michigan",26,161
14883,"Arenac County, Michigan",26,011
61550,"Barry County, Michigan",26,015
51787,"Cass County, Michigan",26,027
11066,"Iron County, Michigan",26,071
17766,"Benzie County, Michigan",26,019
24019,"Roscommon County, Michigan",26,143
8094,"Schoolcraft County, Michigan",26,153
1749343,"Wayne County, Michigan",26,163
43517,"Branch County, Michigan",26,023
93088,"Grand Traverse County, Michigan",26,055
158510,"Jackson County, Michigan",26,075
10799,"Mackinac County, Michigan",26,097
405813,"Genesee County, Michigan",26,049
23324,"Antrim County, Michigan",26,009
35684,"Houghton County, Michigan",26,061
191995,"Livingston County, Michigan",26,093
25127,"Iosco County, Michigan",26,069
11853,"Lake County, Michigan",26,085
24558,"Manistee County, Michigan",26,101
9328,"Montmorency County, Michigan",26,119
12592,"Presque Isle County, Michigan",26,141
25449,"Gladwin County, Michigan",26,051
265066,"Kalamazoo County, Michigan",26,077
43453,"Mecosta County, Michigan",26,107
66699,"Marquette County, Michigan",26,103
48980,"Newaygo County, Michigan",26,123
23460,"Osceola County, Michigan",26,133
24668,"Otsego County, Michigan",26,137
134159,"Calhoun County, Michigan",26,025
25276,"Cheboygan County, Michigan",26,031
6229,"Luce County, Michigan",26,095
656955,"Kent County, Michigan",26,081
873972,"Macomb County, Michigan",26,099
190539,"Saginaw County, Michigan",26,145
68122,"Shiawassee County, Michigan",26,155
8209,"Baraga County, Michigan",26,013
103126,"Bay County, Michigan",26,017
26143,"Charlevoix County, Michigan",26,029
110268,"Eaton County, Michigan",26,045
35784,"Delta County, Michigan",26,041
13975,"Gogebic County, Michigan",26,053
33415,"Emmet County, Michigan",26,047
803907,"Suffolk County, Massachusetts",25,025
212990,"Barnstable County, Massachusetts",25,001
17332,"Dukes County, Massachusetts",25,007
1611699,"Middlesex County, Massachusetts",25,017
124944,"Berkshire County, Massachusetts",25,003
565217,"Bristol County, Massachusetts",25,005
466372,"Hampden County, Massachusetts",25,013
521202,"Plymouth County, Massachusetts",25,023
789034,"Essex County, Massachusetts",25,009
70180,"Franklin County, Massachusetts",25,011
706775,"Norfolk County, Massachusetts",25,021
830622,"Worcester County, Massachusetts",25,027
160830,"Hampshire County, Massachusetts",25,015
11399,"Nantucket County, Massachusetts",25,019
4531,"Oneida County, Idaho",16,071
24030,"Cassia County, Idaho",16,031
5366,"Lincoln County, Idaho",16,063
11392,"Valley County, Idaho",16,085
4294,"Adams County, Idaho",16,003
40408,"Nez Perce County, Idaho",16,069
21039,"Minidoka County, Idaho",16,067
86878,"Twin Falls County, Idaho",16,083
11823,"Owyhee County, Idaho",16,073
12245,"Boundary County, Idaho",16,021
2597,"Butte County, Idaho",16,023
7155,"Caribou County, Idaho",16,029
15179,"Gooding County, Idaho",16,047
18112,"Gem County, Idaho",16,045
13876,"Franklin County, Idaho",16,041
24412,"Jerome County, Idaho",16,053
165697,"Kootenai County, Idaho",16,055
3838,"Lewis County, Idaho",16,061
23021,"Blaine County, Idaho",16,013
7831,"Boise County, Idaho",16,015
481587,"Ada County, Idaho",16,001
87808,"Bannock County, Idaho",16,005
6125,"Bear Lake County, Idaho",16,007
46811,"Bingham County, Idaho",16,011
119062,"Bonneville County, Idaho",16,019
1106,"Camas County, Idaho",16,025
229849,"Canyon County, Idaho",16,027
8756,"Clearwater County, Idaho",16,035
29871,"Jefferson County, Idaho",16,051
40108,"Latah County, Idaho",16,057
8027,"Lemhi County, Idaho",16,059
23951,"Payette County, Idaho",16,075
9298,"Benewah County, Idaho",16,009
45739,"Bonner County, Idaho",16,017
845,"Clark County, Idaho",16,033
4315,"Custer County, Idaho",16,037
27511,"Elmore County, Idaho",16,039
13099,"Fremont County, Idaho",16,043
39907,"Madison County, Idaho",16,065
12882,"Shoshone County, Idaho",16,079
16667,"Idaho County, Idaho",16,049
12142,"Teton County, Idaho",16,081
7681,"Power County, Idaho",16,077
10194,"Washington County, Idaho",16,087
25473,"Washington County, Florida",12,133
957755,"Duval County, Florida",12,031
28201,"Bradford County, Florida",12,007
601942,"Brevard County, Florida",12,009
1496770,"Palm Beach County, Florida",12,099
219252,"Clay County, Florida",12,019
8422,"Lafayette County, Florida",12,067
367118,"Lake County, Florida",12,069
159923,"Indian River County, Florida",12,061
46414,"Jackson County, Florida",12,063
88625,"Nassau County, Florida",12,089
974996,"Pinellas County, Florida",12,103
724777,"Polk County, Florida",12,105
328297,"St. Lucie County, Florida",12,111
13811,"Glades County, Florida",12,043
42022,"Hendry County, Florida",12,051
264672,"St. Johns County, Florida",12,109
2716940,"Miami-Dade County, Florida",12,086
174705,"Bay County, Florida",12,005
115081,"Flagler County, Florida",12,035
12125,"Franklin County, Florida",12,037
13639,"Gulf County, Florida",12,045
14428,"Hamilton County, Florida",12,047
375751,"Osceola County, Florida",12,097
74071,"Walton County, Florida",12,131
45660,"Gadsden County, Florida",12,039
19617,"Holmes County, Florida",12,059
14246,"Jefferson County, Florida",12,065
770577,"Lee County, Florida",12,071
26937,"Hardee County, Florida",12,049
384902,"Collier County, Florida",12,021
42168,"Okeechobee County, Florida",12,093
1393452,"Orange County, Florida",12,095
553947,"Pasco County, Florida",12,101
18582,"Gilchrist County, Florida",12,041
106221,"Highlands County, Florida",12,055
269043,"Alachua County, Florida",12,001
38001,"DeSoto County, Florida",12,027
14105,"Calhoun County, Florida",12,013
188910,"Charlotte County, Florida",12,015
